2016-10-17_10:39:45.548  [软件] 自动校时失败，请使用管理员权限运行本程序，谢谢！。
2016-10-17_10:39:45.647  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:45.647  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:45.647  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:45.851  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:45.851  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:45.851  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:46.059  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:46.059  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:46.059  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:46.248  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:46.248  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:46.248  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:46.351  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:46.351  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:46.351  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:46.451  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:46.451  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:46.451  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:46.548  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:46.548  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:46.548  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:46.648  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:46.648  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:46.648  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:46.747  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:46.747  [维护] 10:33:35车载"接收器1故障"
