2016-10-13_17:26:38.465 [软件] DMI自检完毕，准备启动。
2016-10-13_17:26:38.465 [车载] 当前超速。
2016-10-13_17:26:38.564 [车载] 前方限速10公里每小时。
2016-10-13_17:26:38.564 [车载] 车辆常用制动。
2016-10-13_17:26:38.564 [车载] 当前超速。
2016-10-13_17:26:38.649 [车载] 前方限速10公里每小时。
2016-10-13_17:26:38.649 [车载] 车辆常用制动。
2016-10-13_17:26:38.649 [车载] 当前超速。
2016-10-13_17:26:38.745 [车载] 前方限速10公里每小时。
2016-10-13_17:26:38.745 [车载] 车辆常用制动。
2016-10-13_17:26:38.745 [车载] 当前超速。
2016-10-13_17:26:38.847 [车载] 前方限速10公里每小时。
2016-10-13_17:26:38.847 [车载] 车辆常用制动。
2016-10-13_17:26:38.847 [车载] 当前超速。
2016-10-13_17:26:38.937 [车载] 前方限速10公里每小时。
2016-10-13_17:26:38.937 [车载] 车辆常用制动。
2016-10-13_17:26:38.937 [车载] 当前超速。
2016-10-13_17:26:39.173 [车载] 前方限速10公里每小时。
2016-10-13_17:26:39.173 [车载] 车辆常用制动。
2016-10-13_17:26:39.173 [车载] 当前超速。
2016-10-13_17:26:39.234 [车载] 前方限速10公里每小时。
2016-10-13_17:26:39.234 [车载] 车辆常用制动。
2016-10-13_17:26:39.234 [车载] 当前超速。
2016-10-13_17:26:39.337 [车载] 前方限速10公里每小时。
2016-10-13_17:26:39.337 [车载] 车辆常用制动。
2016-10-13_17:26:39.337 [车载] 当前超速。
2016-10-13_17:26:39.432 [车载] 前方限速10公里每小时。
2016-10-13_17:26:39.432 [车载] 车辆常用制动。
2016-10-13_17:26:39.432 [车载] 当前超速。
2016-10-13_17:26:39.534 [车载] 前方限速10公里每小时。
2016-10-13_17:26:39.534 [车载] 车辆常用制动。
2016-10-13_17:26:39.534 [车载] 当前超速。
2016-10-13_17:26:39.634 [车载] 前方限速10公里每小时。
2016-10-13_17:26:39.634 [车载] 车辆常用制动。
2016-10-13_17:26:39.634 [车载] 当前超速。
2016-10-13_17:26:39.733 [车载] 前方限速10公里每小时。
2016-10-13_17:26:39.733 [车载] 车辆常用制动。
2016-10-13_17:26:39.733 [车载] 当前超速。
2016-10-13_17:26:39.832 [车载] 前方限速10公里每小时。
2016-10-13_17:26:39.832 [车载] 车辆常用制动。
2016-10-13_17:26:39.832 [车载] 当前超速。
2016-10-13_17:26:39.933 [车载] 前方限速10公里每小时。
2016-10-13_17:26:39.933 [车载] 车辆常用制动。
2016-10-13_17:26:39.934 [车载] 当前超速。
2016-10-13_17:26:40.038 [车载] 前方限速10公里每小时。
2016-10-13_17:26:40.038 [车载] 车辆常用制动。
2016-10-13_17:26:40.038 [车载] 当前超速。
2016-10-13_17:26:40.135 [车载] 前方限速10公里每小时。
2016-10-13_17:26:40.135 [车载] 车辆常用制动。
2016-10-13_17:26:40.135 [车载] 当前超速。
2016-10-13_17:26:40.235 [车载] 前方限速10公里每小时。
2016-10-13_17:26:40.236 [车载] 车辆常用制动。
2016-10-13_17:26:40.236 [车载] 当前超速。
2016-10-13_17:26:40.340 [车载] 前方限速10公里每小时。
2016-10-13_17:26:40.340 [车载] 车辆常用制动。
2016-10-13_17:26:40.340 [车载] 当前超速。
